Destino,Origem,Classificacao,Danos,Data,Municipio,Estado,Regiao,Tipo_de_Aerodromo,Tipo_de_Ocorrencia,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Fatais_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Lesoes_Leves_Tripulantes,Total_Lesoes,Atualizacao
SBPR,SIAI,Incidente,Nenhum,2020-11-23,BELO HORIZONTE,MG,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SSGO,SBMT,Incidente Grave,Nenhum,2020-12-11,SÃO PAULO,SP,Sudeste,Público,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBKP,SBRJ,Incidente,Nenhum,2020-12-05,RIO DE JANEIRO,RJ,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
Sem Registro,Sem Registro,Incidente Grave,Leve,2020-12-30,LAGOA DA CONFUSÃO,TO,Norte,-,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-08-07 14:40:10
SBJF,SBJF,Incidente Grave,Leve,2020-12-21,JUIZ DE FORA,MG,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBJF,SBJF,Incidente Grave,Leve,2020-12-21,JUIZ DE FORA,MG,Sudeste,Público,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente,Sem Registro,2010-02-18,Sem Registro,SP,Sudeste,Sem Registro,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBFI,SBPA,Incidente,Nenhum,2020-12-21,PORTO ALEGRE,RS,Sul,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente,Sem Registro,2010-02-25,Sem Registro,PR,Sul,Sem Registro,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-25,Sem Registro,PA,Norte,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
